ticker,tipo,isin,nome,yahoo,mercato
X710,etf_promo,LU0290357259,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1C,X710.MI,Borsa Italiana
XGLE,etf_promo,LU0290355717,Xtrackers II Eurozone Government Bond UCITS ETF 1C,XGLE.MI,Borsa Italiana
XEIN,etf_promo,LU0290358224,Xtrackers II Eurozone Inflation-Linked Bond UCITS ETF 1C,XEIN.MI,Borsa Italiana
XGSH,etf_promo,LU0378818131,LU0290358224,XGSH.MI,Borsa Italiana
XGVD,etf_promo,LU0690964092,Xtrackers II Global Government Bond UCITS ETF 1D - EUR Hedged,XGVD.MI,Borsa Italiana
XGIN,etf_promo,LU0290357929,Xtrackers II Global Inflation-Linked Bond UCITS ETF 1C - EUR Hedged,XGIN.MI,Borsa Italiana
XGIU,etf_promo,LU0908508814,Xtrackers II Global Inflation-Linked Bond UCITS ETF 5C,XGIU.MI,Borsa Italiana
XG7S,etf_promo,LU0908508731,Xtrackers II Global Government Bond UCITS ETF 5C,XG7S.MI,Borsa Italiana
CGB,etf_promo,LU1094612022,Xtrackers II Harvest China Government Bond UCITS ETF 1D,CGB.MI,Borsa Italiana
XBOT,etf_promo,LU0613540268,Xtrackers II Italy Government Bond 0-1 Swap UCITS ETF 1C,XBOT.MI,Borsa Italiana
XJSE,etf_promo,LU0952581584,Xtrackers II Japan Government Bond UCITS ETF 1C,XJSE.MI,Borsa Italiana
XUEM,etf_promo,LU0677077884,Xtrackers II J.P. Morgan USD Emerging Markets Bond UCITS ETF 2D,XUEM.MI,Borsa Italiana
XTIP,etf_promo,LU2504532131,Xtrackers II TIPS US Inflation-,XTIP.MI,Borsa Italiana
XY4P,etf_promo,LU0524480265,Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS ETF 1C,XY4P.MI,Borsa Italiana
XEMB,etf_promo,LU0321462953,Xtrackers II J.P. Morgan USD Emerging Markets Bond UCITS ETF 1C - EUR Hedged,XEMB.MI,Borsa Italiana
XHY1,etf_promo,LU1109939865,Xtrackers II Rolling Target Maturity Sept 2027 EUR High Yield UCITS ETF 1D,XHY1.MI,Borsa Italiana
XHYA,etf_promo,LU1109943388,Xtrackers II EUR High Yield Corporate Bond UCITS ETF 1C,XHYA.MI,Borsa Italiana
XBAT,etf_promo,LU0484969463,Xtrackers II Eurozone AAA Gov Bd Swap UCITS ETF,XBAT.MI,Borsa Italiana
XEML,etf_promo,LU2158769930,Xtrackers II Eurozone AAA Gov Bd Swap UCITS ETF,XEML.MI,Borsa Italiana
XB27,etf_promo,LU2673523218,Xtrackers II Target Maturity Sept 2027 EUR Corporate Bond UCITS ETF 1D,XB27.MI,Borsa Italiana
XB29,etf_promo,LU2673523309,Xtrackers II Target Maturity Sept 2029 EUR Corporate Bond UCITS ETF 1D,XB29.MI,Borsa Italiana
XB31,etf_promo,LU2673523481,Xtrackers II Target Maturity Sept 2031 EUR Corporate Bond UCITS ETF 1D,XB31.MI,Borsa Italiana
XB33,etf_promo,LU2673523564,Xtrackers II Target Maturity Sept 2033 EUR Corporate Bond UCITS ETF 1D,XB33.MI,Borsa Italiana
XM29,etf_promo,LU2673522913,Xtrackers II Target Maturity Sept 2029 EUR Corporate Bond UCITS ETF 1C,XM29.MI,Borsa Italiana
XM31,etf_promo,LU2673523135,Xtrackers II Target Maturity Sept 2031 EUR Corporate Bond UCITS ETF 1C,XM31.MI,Borsa Italiana
XM33,etf_promo,LU2673523051,Xtrackers II Target Maturity Se,XM33.MI,Borsa Italiana
XB34,etf_promo,LU2809864619,Xtrackers II Target Maturity Sept 2034 EUR Corporate Bond UCITS ETF 1D,XB34.MI,Borsa Italiana
XUT3,etf_promo,LU0429458895,Xtrackers II US Treasuries 1-3 UCITS ETF 1D,XUT3.MI,Borsa Italiana
XEEW,etf_promo,IE00094GSCQ4,Xtrackers World Equity Enhanced Active UCITS ETF 1C,XEEW.MI,Borsa Italiana
XEEE,etf_promo,IE00002ZKAP0,Xtrackers Europe Equity Enhanced Active UCITS ETF 1C,XEEE.MI,Borsa Italiana
XEEU,etf_promo,IE0002PGSLZ5,Xtrackers US Equity Enhanced Active UCITS ETF 1C,XEEU.MI,Borsa Italiana
XNDQ,etf_promo,IE000472H9T4,Xtrackers NASDAQ 100 Swap UCITS ETF 1C,XNDQ.MI,Borsa Italiana
XRTM,etf_promo,LU1109941689,Xtrackers II Rolling Target Mat. Sept 2027 EUR HY UCITS ETF 1C,XRTM.MI,Borsa Italiana
XDJP,etf_promo,LU0839027447,Xtrackers Nikkei 225 UCITS ETF 1D,XDJP.MI,Borsa Italiana
XD9E,etf_promo,IE00BG04M077,Xtrackers MSCI USA UCITS ETF 2C - EUR Hedged,XD9E.MI,Borsa Italiana
XBAG,etf_promo,LU0942970103,Xtrackers II ESG Global Aggregate Bond UCITS ETF 1D,XBAG.MI,Borsa Italiana
XBAE,etf_promo,LU0942970798,Xtrackers II ESG Global Aggregate Bond UCITS ETF 5C - EUR Hedged,XBAE.MI,Borsa Italiana
X13E,etf_promo,LU0290356871,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1C,X13E.MI,Borsa Italiana
XUTE,etf_promo,LU1399300455,Xtrackers II US Treasuries UCITS ETF 2D - EUR Hedged,XUTE.MI,Borsa Italiana
XUTD,etf_promo,LU0429459356,Xtrackers II US Treasuries UCITS ETF 1D,XUTD.MI,Borsa Italiana
XFFE,etf_promo,LU0321465469,Xtrackers II USD Overnight Rate Swap UCITS ETF 1C,XFFE.MI,Borsa Italiana
X03G,etf_promo,LU0643975161,Xtrackers II Germany Government Bond UCITS ETF 1C,X03G.MI,Borsa Italiana
XM27,etf_promo,LU2673522830,Xtrackers II Target Maturity Sept 2027 EUR Corporate Bond UCITS ETF 1C,XM27.MI,Borsa Italiana
XB28,etf_promo,LU2810185665,Xtrackers II Target Maturity Sept 2028 EUR Corporate Bond UCITS ETF 1D,XB28.MI,Borsa Italiana
