isin,nome
IE00BL25JL35,Xtrackers MSCI World Quality UCITS ETF 1C
IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C
IE00BM67HQ30,Xtrackers MSCI World Utilities UCITS ETF 1C
IE00BL25JM42,Xtrackers MSCI World Value UCITS ETF 1C
IE00BMFKG444,Xtrackers NASDAQ 100 UCITS ETF
IE00B3Y8D011,Xtrackers Portfolio Income UCITS ETF 1D
IE00BJZ2DD79,Xtrackers Russell 2000 UCITS ETF 1C
IE0002EI5AG0,IE00BJZ2DD79 Xtrackers Russell 2000 UCITS ETF 1C Xtrackers S&P 500 Equal Weight UCITS ETF 2C - EUR Hedged
IE00BLNMYC90,Xtrackers S&P 500 Equal Weight UCITS ETF 1C
IE00BM67HW99,Xtrackers S&P 500 UCITS ETF 1C - EUR Hedged
IE00BZ036J45,Xtrackers USD Corporate Bond UCITS ETF 2D - EUR Hedged
IE00BZ036H21,Xtrackers USD Corporate Bond UCITS ETF 1D
IE00BDR5HM97,Xtrackers USD High Yield Corporate Bond UCITS ETF 1D
IE000VXC51U5,Xtrackers MSCI AC World ESG Screened UCITS ETF 2C – EUR Hedged
IE00BGHQ0G80,Xtrackers MSCI AC World ESG Screened UCITS ETF 1C
IE00BM67HJ62,Xtrackers MSCI Emerging Markets ESG Screened UCITS ETF 1C
IE00BPVLQD13,IE00BM67HJ62 Xtrackers MSCI Emerging Markets ESG Screened UCITS ETF 1C Xtrackers MSCI Japan ESG Screened UCITS ETF
IE00BRB36B93,Xtrackers MSCI Japan ESG Screened UCITS ETF Xtrackers MSCI Japan ESG Screened UCITS ETF – EUR Hedged
IE000TSML5I8,Xtrackers MSCI USA ESG Screened UCITS ETF 2C - Eur Hedged
IE00BJZ2DC62,Xtrackers MSCI USA ESG Screened UCITS ETF
IE0003NQ0IY5,IE00BJZ2DC62 Xtrackers MSCI USA ESG Screened UCITS ETF Xtrackers MSCI World Quality ESG UCITS ETF 1C Securities Lending Transactions
IE00BCHWNQ94,Xtrackers MSCI World ESG Screened UCITS ETF
IE000LAUZQT6,Xtrackers MSCI World Value ESG UCITS ETF 1C
IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C Securities Lending Transactions
IE0004MFRED4,Xtrackers MSCI World ex USA UCITS ETF 1C Securities Lending Transactions Xtrackers S&P 500 Equal Weight ESG UCITS ETF 1C
IE000IDLWOL4,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 2C EUR Hdg
IE00BM97MR69,Xtrackers US Treasuries Ultrashort Bond UCITS ETF 1C
LU2178481649,Xtrackers II EUR Corporate Bond Short Duration SRI PAB UCITS ETF
LU0925589839,LU2178481649
LU1109942653,
